date,temp,visib,wdsp,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder
2015-03-10,47.2,8.5,3.3,14.0,54.0,39.0,0.13,13.0,0,1,0,0,0
2015-12-31,46.5,5.4,3.0,999.9,48.0,45.0,0.19,999.9,0,1,0,0,0
2015-11-30,39.4,999.9,6.0,999.9,44.6,33.8,0.0,999.9,0,0,0,0,0
2015-01-07,20.7,9.7,9.5,29.9,23.0,15.1,0.05,999.9,0,0,0,0,0
2015-01-15,29.5,10.0,3.6,999.9,34.0,25.0,0.0,999.9,0,0,0,0,0
2015-01-18,35.1,5.7,3.3,999.9,42.8,30.0,0.0,999.9,1,1,0,0,0
2015-01-23,32.7,10.0,5.5,19.0,39.9,28.0,0.0,999.9,0,0,0,0,0
2015-02-08,35.1,5.9,5.9,18.1,39.9,25.0,0.02,7.9,0,0,0,0,0
2015-02-11,28.3,10.0,7.8,24.1,39.9,21.9,0.01,7.9,0,0,0,0,0
2015-02-22,34.3,4.5,2.1,17.1,43.0,28.9,0.71,9.1,1,1,1,0,0
2015-02-24,12.1,10.0,6.0,21.0,21.9,3.9,0.0,11.8,0,0,0,0,0
2015-02-26,26.8,9.7,6.1,15.9,37.0,19.9,0.0,11.8,0,0,0,0,0
2015-02-28,21.5,10.0,3.6,15.0,30.0,12.9,0.0,11.0,0,0,0,0,0
2015-03-11,48.8,6.5,4.5,19.0,59.0,39.0,0.47,11.0,0,1,0,0,0
2015-03-23,30.3,10.0,5.5,17.1,43.0,23.0,0.0,999.9,0,0,0,0,0
2015-03-27,43.9,9.1,4.2,20.0,62.1,39.0,0.59,999.9,0,1,0,0,0
2015-04-24,43.5,10.0,7.3,22.0,52.0,39.0,0.0,999.9,0,0,0,0,0
2015-05-12,75.6,8.5,3.7,21.0,84.9,68.0,0.0,999.9,0,0,0,0,0
2015-05-22,62.1,10.0,4.4,25.1,73.9,52.0,0.0,999.9,0,0,0,0,0
2015-05-29,73.6,10.0,4.5,17.1,84.9,64.9,0.0,999.9,0,0,0,0,0
2015-05-31,74.4,8.5,4.1,20.0,87.1,66.9,0.0,999.9,1,1,0,0,0
2015-06-03,58.0,9.0,4.5,999.9,70.0,52.0,0.26,999.9,0,1,0,0,0
