,passenger_count,store_and_fwd_flag,euc_distance,hav_distance,trip_duration,temp,visib,wdsp,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,vendor_id_1,vendor_id_2,month_1,month_2,month_3,month_4,month_5,month_6,day_1,day_2,day_3,day_4,day_5,day_6,day_7,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,pca0,pca1
0,1,0,0.02769421978995453,2.658570582818528,402,45.2,9.0,6.1,26.0,60.1,32.0,0.0,8.493339350180506,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.02841963743274111,-0.027471379984094182
1,1,0,0.010315418232387144,1.108554688643954,662,68.4,7.8,4.4,21.46866983936472,82.9,62.1,0.0,8.493339350180506,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0183877356174395,0.00739291677541656
2,1,0,0.04544656650003506,4.194572207059217,1272,52.0,10.0,7.1,35.0,63.0,45.0,0.0,8.493339350180506,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.01919988585867669,0.004828717123447932
3,1,0,0.013342718817982909,1.3675965139286288,360,45.2,9.0,6.1,26.0,60.1,32.0,0.0,8.493339350180506,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.004454503490687683,-0.04131290954297501
4,1,0,0.05229068587236448,4.999182829404148,1165,78.1,7.5,3.1,15.9,90.0,69.1,0.0,8.493339350180506,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04435379493797564,-0.07082231730329977
5,2,0,0.026146844748441127,2.6042485165926847,689,50.1,5.0,2.2,21.46866983936472,59.0,44.6,0.16,8.493339350180506,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.017059738519344805,-0.004395470178707594
6,1,0,0.013850291651882294,1.4255133366176118,772,30.7,10.0,5.6,21.0,37.0,16.0,0.0,8.493339350180506,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0407454399550489,-0.024641398096336063
7,1,0,0.02768569778892385,2.4530926144002927,937,77.2,9.8,4.1,22.0,87.1,68.0,0.0,8.493339350180506,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.017006665175927558,-0.03563866520939909
8,1,0,0.02541474883603651,2.268692852195333,939,54.9,6.8,5.2,15.9,69.1,48.9,0.17,8.493339350180506,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006225546537279242,0.11054938133283475
9,3,0,0.006974873263789007,0.7144363172083918,145,30.1,10.0,5.2,17.1,37.0,24.1,0.0,8.493339350180506,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.016738050455772084,-0.005627652513833856
